Name,Type,Address,City,State,Zip Code,Accepts Food Donations?,Website,Unique ID,Latitude,Longitude,Approximate distance,x,y
Anita Food Pantry,Food Pantry,208 Chestnut Street,Anita,IA,50020,Yes,,,41.445596,-94.765696,0 km,-10549269.023,5078290.831
Greater Area Food Pantry - Calmar,Food Pantry,110 Main Street,Calmar,IA,52132,,,,43.182603,-91.865180,0 km,-10226385.093,5339807.301
First Lutheran Church Saturday Evening Meal Program,Soup Kitchen,1000 3rd Avenue Southeast,Cedar Rapids,IA,52403,Yes,www.firstlutherancr.org,,41.982593,-91.657814,0 km,-10203301.182,5158372.361
Salvation Army Cedar Rapids Meal Program,Soup Kitchen,1000 C Avenue Northwest,Cedar Rapids,IA,52405,Unsure,centralusa.salvationarmy.org/cedarrapids/,,41.976299,-91.686130,0 km,-10206453.282,5157429.765
Loaves and Fishes Food Pantry,Food Pantry,1030 5th Avenue Southeast 1700,Cedar Rapids,IA,52403,Yes,www.crwpc.org/,,41.981391,-91.655345,0 km,-10203026.312,5158192.359
Neighborhood Meal & Enrichment Program,Soup Kitchen,1340 3rd Avenue Southeast,Cedar Rapids,IA,52403,,www.stpaulsumc.org/service---outreach,,41.985489,-91.652919,0 km,-10202756.317,5158806.014
Mission of Hope,Food Pantry,1700 B Ave NE,Cedar Rapids,IA,52402,No,www.missionofhopecr.org/our-services/,,41.992418,-91.650277,0 km,-10202462.178,5159843.735
First Church of the Open Bible,Food Pantry,1911 E Avenue Northwest,Cedar Rapids,IA,52405,,www.firstopenbible.com/,,41.977553,-91.699536,0 km,-10207945.609,5157617.645
Groundswell Cafe Matthew,Food Pantry,201 3rd Avenue Southwest 25,Cedar Rapids,IA,52404,Unsure,www.matthew-25.org/groundswell/,,41.973854,-91.673298,0 km,-10205024.864,5157063.63
Olivet Neighborhood Mission,Food Pantry,230 10th Street Northwest,Cedar Rapids,IA,52405,,www.olivetmission.org/services/food-assistance/,,41.974675,-91.685978,0 km,-10206436.373,5157186.651
Gospel Tabernacle Church,Food Pantry,2531 42nd Street Northeast,Cedar Rapids,IA,52402,,www.gtcworship.org/outreach,,42.021336,-91.680966,0 km,-10205878.484,5164176.054
Linn Community Food Bank Pantry First Presbyterian Church,Food Pantry,310 5th Street Southeast,Cedar Rapids,IA,52401,Yes,linncommunityfoodbank.org/,,41.978842,-91.662937,0 km,-10203871.449,5157810.65
Christ Holiness Apostolic Temple,Soup Kitchen,355 19th Street SE,Cedar Rapids,IA,52403,No,experience.arcgis.com/experience/,,41.986209,-91.643170,0 km,-10201671.008,5158913.858
Elayne Fisher Community Cupboard,Food Pantry,3791 Blairs Ferry Rd NE,Cedar Rapids,IA,52402,No,unitycr.org/ministry-teams/community-cupboard/,,42.034401,-91.693933,0 km,-10207321.919,5166133.926
River of Life,Food Pantry,3801 Blairs Ferry Rd NE,Cedar Rapids,IA,52402,Yes,riveroflife.org/food-pantry/,,42.034122,-91.695499,0 km,-10207496.257,5166092.125
Metro Catholic Outreach,Food Pantry,420 6th St SE,Cedar Rapids,IA,52401,No,metrocatholicoutreach.org/food-assistance/,,41.978875,-91.660660,0 km,-10203617.986,5157815.561
Encore Cafe: St. Marks,Soup Kitchen,4700 Johnson Avenue Northwest,Cedar Rapids,IA,52405,No,www.heritageaaa.org/encoremenu,,41.969186,-91.732401,0 km,-10211604.157,5156364.758
Green Square Food Pantry,Food Pantry,605 2nd Avenue Southeast,Cedar Rapids,IA,52401,,www.greensquaremeals.org/,,41.980334,-91.662804,0 km,-10203856.655,5158034.088
Open Hands Food Pantry,Food Pantry,6455 E Avenue NW,Cedar Rapids,IA,52405,Yes,cedarhillscr.org/foodpantry/,,41.977506,-91.753667,0 km,-10213971.456,5157610.517
Horizons A Family Service Alliance Meals on Wheels Program,Food Pantry,819 5th St SE,Cedar Rapids,IA,52406,No,horizonsfamily.org/mealsonwheels/#johnsoncounty,,41.973787,-91.659142,0 km,-10203449.014,5157053.702
Coralville Community Food Pantry,Food Pantry,1002 5th Street,Coralville,IA,52241,Unsure,www.coralvillefoodpantry.org,,41.674622,-91.578714,0 km,-10194495.81,5112363.266
Friendly House,Food Pantry,1221 Myrtle Street,Davenport,IA,52804,Yes,www.friendlyhouseiowa.org/food-pantry.html,,41.532191,-90.588231,0 km,-10084235.691,5091159.408
River Bend Food Bank,Food Bank,4010 Kimmel Drive,Davenport,IA,52802,,riverbendfoodbank.org/,,41.499681,-90.636556,0 km,-10089615.283,5086326.176
King's Harvest Ministries,Food Pantry,824 West 3rd Street,Davenport,IA,52802,,www.kingsharvest.net/,,41.522674,-90.585411,0 km,-10083921.859,5089744.298
Bidwell Riverside Center,Food Pantry,1203 Hartford Avenue,Des Moines,IA,50315,,www.bidwellriverside.org/food-and-clothing-pantry,,41.569496,-93.598063,0 km,-10419288.701,5096708.623
"Proteus, Inc. Food Pantry",Food Pantry,"1221 Center Street, Suite 16",Des Moines,IA,50309,,www.proteusinc.net/programs/iowa/food-pantry/,,41.591991,-93.633457,0 km,-10423228.755,5100056.253
The Salvation Army Des Moines Temple Worship & Service Center,Food Pantry,1326 6th Avenue,Des Moines,IA,50314,,centralusa.salvationarmy.org/desmoinestemple/cure-hunger/,,41.603275,-93.626113,0 km,-10422411.213,5101736.007
DMARC Food Pantry,Food Pantry,1420 Mulberry Street,Des Moines,IA,50309,Yes,centraliowashelter.org/,,41.582498,-93.634368,0 km,-10423330.111,5098643.331
Catholic Charities of Des Moines,Food Pantry,1815 Hubbell Avenue,Des Moines,IA,50316,Unsure,www.catholiccharitiesdm.org/our-services/food-pantry/,,41.595981,-93.585683,0 km,-10417910.544,5100650.206
Food Bank of Iowa - Des Moines,Food Bank,2220 East 17th Street,Des Moines,IA,50316,,www.foodbankiowa.org/,,41.614272,-93.592185,0 km,-10418634.376,5103373.291
St. Stephen's Cupboard,Food Pantry,3145 Cedar Crest Ridge,Dubuque,IA,52003,,riverbendfoodbank.org/aboutus/,,42.476664,-90.710090,0 km,-10097800.991,5232650.977
Beacon Of Hope Shelter,Soup Kitchen,1021 1st Avenue North,Fort Dodge,IA,50501,Yes,beaconofhopeshelter.com/,,42.506301,-94.184057,0 km,-10484521.233,5237125.142
HACAP Food Reservoir,Food Bank,1515 Hawkeye Drive,Hiawatha,IA,52233,,www.hacap.org,,42.054951,-91.677407,0 km,-10205482.265,5169214.395
IC Compassions Food Pantry,Food Pantry,1035 Wade Street,Iowa City,IA,52240,No,www.iccompassion.org/foodassistance,,41.647920,-91.501123,0 km,-10185858.408,5108384.576
CommUnity,Food Pantry,1045 Highway 6 East,Iowa City,IA,52240,Yes,builtbycommunity.org/pepperwood/,,41.647886,-91.530357,0 km,-10189112.767,5108379.57
CommUnity Crisis Services and Food Bank,Food Bank,1045 U.S. 6,Iowa City,IA,52240,,builtbycommunity.org/foodbank/,,41.641928,-91.520292,0 km,-10187992.247,5107492.011
Salvation Army,Food Pantry,1116 South Gilbert Court,Iowa City,IA,52240,No,centralusa.salvationarmy.org/usc/location-search?location=52240,,41.648288,-91.529449,0 km,-10189011.689,5108439.383
UIowa Pantry,Food Pantry,125 North Madison Street,Iowa City,IA,52245,,leadandserve.uiowa.edu/organizations/food-pantry/,,41.663034,-91.538435,0 km,-10190011.995,5110636.443
Encore Cafe: Lowe Park,Soup Kitchen,4500 N 10th st,Marion,IA,52302,No,www.heritageaaa.org/encoremenu,,42.033279,-91.596896,0 km,-10196519.799,5165965.781
Food Bank of Iowa - Ottumwa,Food Bank,705 W Main St,Ottumwa,IA,52501,,foodbankiowa.org/,,41.024299,-92.420756,0 km,-10288231.478,5015926.428
